STATE,YEAR,ENROLL,POLITICAL_AFFILIATION,INSTRUCTION_EXPENDITURE_PER_1000_STUDENTS,TOTAL_EXPENDITURE_PER_1000_STUDENTS,Expenditure_Type,Expenditure
Nebraska,1994,283962.0,Republican,3640.832224029976,6230.580148047978,INSTRUCTION_EXPENDITURE,1033858
Nevada,1994,235800.0,Swing,2774.690415606446,5700.784563189143,INSTRUCTION_EXPENDITURE,654272
New_Hampshire,1994,181688.0,Swing,3569.3771740566244,6163.103782308132,INSTRUCTION_EXPENDITURE,648513
New_Jersey,1994,651554.0,Democratic,5405.91877265737,10383.030416511909,INSTRUCTION_EXPENDITURE,3522248
New_Mexico,1994,286759.0,Democratic,2169.5500402777243,4267.5521953975285,INSTRUCTION_EXPENDITURE,622138
New_York,1994,2702937.0,Democratic,5486.357987626053,9382.285269689972,INSTRUCTION_EXPENDITURE,14829280
North_Carolina,1994,1131662.0,Swing,2793.300473109462,5072.98645708701,INSTRUCTION_EXPENDITURE,3161072
North_Dakota,1994,118778.0,Republican,2685.8004007476134,5230.876088164475,INSTRUCTION_EXPENDITURE,319014
Ohio,1994,1816817.0,Swing,3184.681781379192,5933.529904222604,INSTRUCTION_EXPENDITURE,5785984
Oklahoma,1994,316322.0,Republican,2420.691573776089,4834.330207826202,INSTRUCTION_EXPENDITURE,765718
Oregon,1994,518425.0,Democratic,3316.50094034817,6156.709263635048,INSTRUCTION_EXPENDITURE,1719357
Pennsylvania,1994,1720681.0,Swing,4126.601037612434,7962.966406905173,INSTRUCTION_EXPENDITURE,7100564
Rhode_Island,1994,144918.0,Democratic,4430.5607308960925,6865.158227411363,INSTRUCTION_EXPENDITURE,642068
South_Carolina,1994,634415.0,Republican,2595.0048469850176,4975.057336286185,INSTRUCTION_EXPENDITURE,1646310
South_Dakota,1994,108439.0,Republican,2624.867436992226,4844.096681083374,INSTRUCTION_EXPENDITURE,284638
Tennessee,1994,857014.0,Republican,2451.5387146534363,4272.357277710749,INSTRUCTION_EXPENDITURE,2101003
Texas,1994,3601627.0,Republican,2725.0101134848223,5337.629077080997,INSTRUCTION_EXPENDITURE,9814470
Utah,1994,469811.0,Republican,2122.4300835868044,3930.1932053527908,INSTRUCTION_EXPENDITURE,997141
Vermont,1994,98377.0,Democratic,4267.186435853909,8840.582656515242,INSTRUCTION_EXPENDITURE,419793
Virginia,1994,1044721.0,Swing,3131.320228080033,6007.69200580825,INSTRUCTION_EXPENDITURE,3271356
Washington,1994,915952.0,Democratic,3186.2215487274443,6516.269411497546,INSTRUCTION_EXPENDITURE,2918426
West_Virginia,1994,313750.0,Republican,3350.3394422310757,5877.204780876494,INSTRUCTION_EXPENDITURE,1051169
Wisconsin,1994,843747.0,Swing,3860.785282792117,6945.48247282657,INSTRUCTION_EXPENDITURE,3257526
Wyoming,1994,100899.0,Republican,3414.919870365415,6175.938314552176,INSTRUCTION_EXPENDITURE,344562
Alabama,1995,727480.0,Republican,2545.3620718095344,4609.560400285918,INSTRUCTION_EXPENDITURE,1851700
Alaska,1995,125421.0,Republican,4113.4578738807695,9598.20923130895,INSTRUCTION_EXPENDITURE,515914
Arizona,1995,735018.0,Swing,2411.353191350416,5518.611789099042,INSTRUCTION_EXPENDITURE,1772388
Arkansas,1995,447757.0,Republican,2704.7193008707845,4813.028048696056,INSTRUCTION_EXPENDITURE,1211057
California,1995,5299405.0,Democratic,3046.835635321324,5679.420425500599,INSTRUCTION_EXPENDITURE,16146416
Colorado,1995,639805.0,Swing,2963.754581474043,5886.466970405046,INSTRUCTION_EXPENDITURE,1896225
Connecticut,1995,489513.0,Democratic,5304.200297029905,8686.563993193236,INSTRUCTION_EXPENDITURE,2596475
Delaware,1995,106813.0,Democratic,4039.1431754561704,7233.847939857508,INSTRUCTION_EXPENDITURE,431433
District_Of_Columbia,1995,80450.0,Democratic,4183.256681168427,8803.28154133002,INSTRUCTION_EXPENDITURE,336543
Florida,1995,2107514.0,Swing,2900.598050594207,6393.30367437654,INSTRUCTION_EXPENDITURE,6113051
Georgia,1995,1270948.0,Swing,3000.275384988214,5737.659605271026,INSTRUCTION_EXPENDITURE,3813194
Hawaii,1995,183869.0,Democratic,3464.161984891417,6293.388227488048,INSTRUCTION_EXPENDITURE,636952
Idaho,1995,240448.0,Republican,2503.8178733031673,4608.376863188714,INSTRUCTION_EXPENDITURE,602038
Illinois,1995,1897161.0,Democratic,3179.270499446278,6231.237622953455,INSTRUCTION_EXPENDITURE,6031588
Indiana,1995,966622.0,Swing,3253.7227582240007,6597.778655979276,INSTRUCTION_EXPENDITURE,3145120
Iowa,1995,498837.0,Swing,3236.5321738363436,6216.002421632717,INSTRUCTION_EXPENDITURE,1614502
Kansas,1995,460905.0,Republican,3053.468719150367,5981.019949881212,INSTRUCTION_EXPENDITURE,1407359
Kentucky,1995,639992.0,Republican,2954.0150501881276,5337.3635920449005,INSTRUCTION_EXPENDITURE,1890546
Louisiana,1995,797061.0,Republican,2572.077921263241,4686.721593453951,INSTRUCTION_EXPENDITURE,2050103
Maine,1995,212154.0,Democratic,3928.118253721353,6781.842435212157,INSTRUCTION_EXPENDITURE,833366
Maryland,1995,790938.0,Democratic,3874.7689452270597,7092.933959425391,INSTRUCTION_EXPENDITURE,3064702
Massachusetts,1995,893727.0,Democratic,4119.013971828086,7503.501628573379,INSTRUCTION_EXPENDITURE,3681274
Michigan,1995,1604527.0,Swing,3840.627175485361,7776.625759491738,INSTRUCTION_EXPENDITURE,6162390
Minnesota,1995,816695.0,Democratic,3807.8021782917735,7536.869945328427,INSTRUCTION_EXPENDITURE,3109813
Mississippi,1995,503301.0,Republican,2363.1862444143762,4291.801526323214,INSTRUCTION_EXPENDITURE,1189394
Missouri,1995,862505.0,Republican,2983.816905409244,5747.46233355169,INSTRUCTION_EXPENDITURE,2573557
Montana,1995,164109.0,Republican,3189.221797707621,5481.93578658087,INSTRUCTION_EXPENDITURE,523380
Nebraska,1995,285836.0,Republican,3643.2499755104323,6557.09217873186,INSTRUCTION_EXPENDITURE,1041372
Nevada,1995,250749.0,Swing,2814.4040454797428,5508.297141763277,INSTRUCTION_EXPENDITURE,705709
New_Hampshire,1995,186239.0,Swing,3632.971611746197,6617.65258619301,INSTRUCTION_EXPENDITURE,676601
New_Jersey,1995,1171658.0,Democratic,5176.447393351985,10209.204392408024,INSTRUCTION_EXPENDITURE,6065026
New_Mexico,1995,327253.0,Democratic,2365.775103665971,4707.926283334302,INSTRUCTION_EXPENDITURE,774207
New_York,1995,2738361.0,Democratic,5730.9956576214745,9692.28198911685,INSTRUCTION_EXPENDITURE,15693535
North_Carolina,1995,1155248.0,Swing,2958.5595473872277,5382.351668213232,INSTRUCTION_EXPENDITURE,3417870
North_Dakota,1995,119288.0,Republican,2744.4671718865266,5213.466568305278,INSTRUCTION_EXPENDITURE,327382
Ohio,1995,1829761.0,Swing,3301.943805775727,6192.090661020757,INSTRUCTION_EXPENDITURE,6041768
Oklahoma,1995,609743.0,Republican,2663.3204481232256,5215.763034589983,INSTRUCTION_EXPENDITURE,1623941
Oregon,1995,519284.0,Democratic,3445.690604755779,6270.141194413846,INSTRUCTION_EXPENDITURE,1789292
Pennsylvania,1995,1741698.0,Swing,4342.013368563322,8116.117719604661,INSTRUCTION_EXPENDITURE,7562476
Rhode_Island,1995,146609.0,Democratic,4619.361703578907,7207.715760969654,INSTRUCTION_EXPENDITURE,677240
South_Carolina,1995,638880.0,Republican,2672.423616328575,5144.429313799148,INSTRUCTION_EXPENDITURE,1707358
South_Dakota,1995,135494.0,Republican,2806.8327748830206,5121.732327630743,INSTRUCTION_EXPENDITURE,380309
Tennessee,1995,870594.0,Republican,2579.4273794673522,4547.438875066909,INSTRUCTION_EXPENDITURE,2245634
Texas,1995,3670007.0,Republican,2902.4650361702306,5503.783507769876,INSTRUCTION_EXPENDITURE,10652067
Utah,1995,472589.0,Republican,2263.5630537316783,4327.9276496067405,INSTRUCTION_EXPENDITURE,1069735
Vermont,1995,100317.0,Democratic,4144.053350877717,8885.811976035966,INSTRUCTION_EXPENDITURE,415719
Virginia,1995,1060809.0,Swing,3254.9789830214486,6213.180695110996,INSTRUCTION_EXPENDITURE,3452911
Washington,1995,938314.0,Democratic,3280.976304307513,6608.399746779863,INSTRUCTION_EXPENDITURE,3078586
West_Virginia,1995,310231.0,Republican,3559.6281480574153,6205.375994017361,INSTRUCTION_EXPENDITURE,1104307
Wisconsin,1995,865374.0,Swing,3958.220376392173,6999.117144725864,INSTRUCTION_EXPENDITURE,3425341
Wyoming,1995,100314.0,Republican,3559.214067827023,6409.22503339514,INSTRUCTION_EXPENDITURE,357039
Alabama,1996,735912.0,Republican,2700.0755525117133,4854.225776995076,INSTRUCTION_EXPENDITURE,1987018
Alaska,1996,126189.0,Republican,5047.658670724073,9826.775709451695,INSTRUCTION_EXPENDITURE,636959
Arizona,1996,764681.0,Swing,2432.395992577297,5742.989560352617,INSTRUCTION_EXPENDITURE,1860007
Arkansas,1996,452907.0,Republican,2791.4671223893647,5072.522615018094,INSTRUCTION_EXPENDITURE,1264275
California,1996,5460484.0,Democratic,3091.4347519377407,5780.01730249553,INSTRUCTION_EXPENDITURE,16880730
Colorado,1996,655679.0,Swing,3129.9828117112183,6215.18303926159,INSTRUCTION_EXPENDITURE,2052264
Connecticut,1996,499815.0,Democratic,5405.273951362004,9079.82753618839,INSTRUCTION_EXPENDITURE,2701637
Delaware,1996,108461.0,Democratic,4125.547431795761,7592.867482320834,INSTRUCTION_EXPENDITURE,447461
District_Of_Columbia,1996,79802.0,Democratic,4196.548958672715,8812.373123480615,INSTRUCTION_EXPENDITURE,334893
Florida,1996,2175352.0,Swing,2933.1542665279,6406.429855949749,INSTRUCTION_EXPENDITURE,6380643
Georgia,1996,1311126.0,Swing,3140.9048405721496,6051.467212151998,INSTRUCTION_EXPENDITURE,4118122
Hawaii,1996,187104.0,Democratic,3586.801992474773,6582.168205917564,INSTRUCTION_EXPENDITURE,671105
Idaho,1996,243097.0,Republican,2642.4719350711853,4928.991307996396,INSTRUCTION_EXPENDITURE,642377
Illinois,1996,1924970.0,Democratic,3274.629215000753,6453.659018062619,INSTRUCTION_EXPENDITURE,6303563
Indiana,1996,975455.0,Swing,3376.7831422259355,6811.216304186251,INSTRUCTION_EXPENDITURE,3293900
Iowa,1996,502343.0,Swing,3342.518956171381,6537.734177643562,INSTRUCTION_EXPENDITURE,1679091
Kansas,1996,463008.0,Republican,3170.746509779529,6495.898558988181,INSTRUCTION_EXPENDITURE,1468081
Kentucky,1996,639531.0,Republican,3080.9718371744293,5983.189243367405,INSTRUCTION_EXPENDITURE,1970377
Louisiana,1996,796087.0,Republican,2610.6706930272694,4792.660852394273,INSTRUCTION_EXPENDITURE,2078321
Maine,1996,213601.0,Democratic,4013.3379525376754,6859.017513962949,INSTRUCTION_EXPENDITURE,857253
Maryland,1996,805544.0,Democratic,3969.857636578511,7231.890498843018,INSTRUCTION_EXPENDITURE,3197895
Massachusetts,1996,912330.0,Democratic,4572.656823737025,8198.322975239222,INSTRUCTION_EXPENDITURE,4171772
Michigan,1996,1631131.0,Swing,3955.6387561759293,8014.00561941377,INSTRUCTION_EXPENDITURE,6452165
