jurisdiction,year,prisoner_count,state_population,prisoner_rate,Geographic Area Name,Education Level,Percentage,higher_education_rate,id
Nevada,2016,13932,2939254.0,0.004739978239376386,Nevada,Less than high school graduate,0.1889586593506725,0.46129588178198605,32
Nevada,2016,13932,2939254.0,0.004739978239376386,Nevada,High school graduate (includes equivalency),0.3497454588673415,0.46129588178198605,32
Nevada,2016,13932,2939254.0,0.004739978239376386,Nevada,Some college or associate's degree,0.40869995840183826,0.46129588178198605,32
Nevada,2016,13932,2939254.0,0.004739978239376386,Nevada,Bachelor's degree or higher,0.05259592338014777,0.46129588178198605,32
New Hampshire,2016,2599,1335015.0,0.0019467946053040603,New Hampshire,Less than high school graduate,0.10516461226400374,0.5927133718208768,33
New Hampshire,2016,2599,1335015.0,0.0019467946053040603,New Hampshire,High school graduate (includes equivalency),0.3021220159151194,0.5927133718208768,33
New Hampshire,2016,2599,1335015.0,0.0019467946053040603,New Hampshire,Some college or associate's degree,0.4652129817444219,0.5927133718208768,33
New Hampshire,2016,2599,1335015.0,0.0019467946053040603,New Hampshire,Bachelor's degree or higher,0.12750039007645497,0.5927133718208768,33
New Jersey,2016,19458,8978416.0,0.002167197421015021,New Jersey,Less than high school graduate,0.119438252115759,0.5976489605293684,34
New Jersey,2016,19458,8978416.0,0.002167197421015021,New Jersey,High school graduate (includes equivalency),0.2829127873548726,0.5976489605293684,34
New Jersey,2016,19458,8978416.0,0.002167197421015021,New Jersey,Some college or associate's degree,0.451815417049134,0.5976489605293684,34
New Jersey,2016,19458,8978416.0,0.002167197421015021,New Jersey,Bachelor's degree or higher,0.14583354348023442,0.5976489605293684,34
New Mexico,2016,6996,2085432.0,0.0033547006087947247,New Mexico,Less than high school graduate,0.18604920796718824,0.5258914294271954,35
New Mexico,2016,6996,2085432.0,0.0033547006087947247,New Mexico,High school graduate (includes equivalency),0.28805936260561643,0.5258914294271954,35
New Mexico,2016,6996,2085432.0,0.0033547006087947247,New Mexico,Some college or associate's degree,0.47366895492248756,0.5258914294271954,35
New Mexico,2016,6996,2085432.0,0.0033547006087947247,New Mexico,Bachelor's degree or higher,0.05222247450470775,0.5258914294271954,35
New York,2016,50611,19836286.0,0.0025514352838026232,New York,Less than high school graduate,0.12333569738149891,0.6187176690993484,36
New York,2016,50611,19836286.0,0.0025514352838026232,New York,High school graduate (includes equivalency),0.2579466335191526,0.6187176690993484,36
New York,2016,50611,19836286.0,0.0025514352838026232,New York,Some college or associate's degree,0.466580747496778,0.6187176690993484,36
New York,2016,50611,19836286.0,0.0025514352838026232,New York,Bachelor's degree or higher,0.15213692160257045,0.6187176690993484,36
North Carolina,2016,35970,10156689.0,0.003541508458120555,North Carolina,Less than high school graduate,0.14698604814474403,0.552304482975845,37
North Carolina,2016,35970,10156689.0,0.003541508458120555,North Carolina,High school graduate (includes equivalency),0.30070946887941097,0.552304482975845,37
North Carolina,2016,35970,10156689.0,0.003541508458120555,North Carolina,Some college or associate's degree,0.4572459801927029,0.552304482975845,37
North Carolina,2016,35970,10156689.0,0.003541508458120555,North Carolina,Bachelor's degree or higher,0.09505850278314211,0.552304482975845,37
North Dakota,2016,1639,755548.0,0.0021692863987463405,North Dakota,Less than high school graduate,0.09136044386710407,0.6436513353442392,38
North Dakota,2016,1639,755548.0,0.0021692863987463405,North Dakota,High school graduate (includes equivalency),0.26498822078865675,0.6436513353442392,38
North Dakota,2016,1639,755548.0,0.0021692863987463405,North Dakota,Some college or associate's degree,0.5286664171382021,0.6436513353442392,38
North Dakota,2016,1639,755548.0,0.0021692863987463405,North Dakota,Bachelor's degree or higher,0.11498491820603712,0.6436513353442392,38
Ohio,2016,52172,11622554.0,0.004488858472931165,Ohio,Less than high school graduate,0.13952967830869809,0.5431264700396257,39
Ohio,2016,52172,11622554.0,0.004488858472931165,Ohio,High school graduate (includes equivalency),0.3173438516516762,0.5431264700396257,39
Ohio,2016,52172,11622554.0,0.004488858472931165,Ohio,Some college or associate's degree,0.4466309080238573,0.5431264700396257,39
Ohio,2016,52172,11622554.0,0.004488858472931165,Ohio,Bachelor's degree or higher,0.09649556201576838,0.5431264700396257,39
Oklahoma,2016,26367,3921207.0,0.006724205072570767,Oklahoma,Less than high school graduate,0.16004946193436267,0.5124734566282592,40
Oklahoma,2016,26367,3921207.0,0.006724205072570767,Oklahoma,High school graduate (includes equivalency),0.3274770814373782,0.5124734566282592,40
Oklahoma,2016,26367,3921207.0,0.006724205072570767,Oklahoma,Some college or associate's degree,0.4379077910258981,0.5124734566282592,40
Oklahoma,2016,26367,3921207.0,0.006724205072570767,Oklahoma,Bachelor's degree or higher,0.07456566560236101,0.5124734566282592,40
Oregon,2016,14579,4085989.0,0.0035680468058039315,Oregon,Less than high school graduate,0.1335931807848014,0.56840306119654,41
Oregon,2016,14579,4085989.0,0.0035680468058039315,Oregon,High school graduate (includes equivalency),0.29800375801865864,0.56840306119654,41
Oregon,2016,14579,4085989.0,0.0035680468058039315,Oregon,Some college or associate's degree,0.4816591159343278,0.56840306119654,41
Oregon,2016,14579,4085989.0,0.0035680468058039315,Oregon,Bachelor's degree or higher,0.08674394526221219,0.56840306119654,41
Pennsylvania,2016,48287,12787085.0,0.0037762320341188003,Pennsylvania,Less than high school graduate,0.12286409136627413,0.5531022561049482,42
Pennsylvania,2016,48287,12787085.0,0.0037762320341188003,Pennsylvania,High school graduate (includes equivalency),0.3240336525287776,0.5531022561049482,42
Pennsylvania,2016,48287,12787085.0,0.0037762320341188003,Pennsylvania,Some college or associate's degree,0.4351655428287541,0.5531022561049482,42
Pennsylvania,2016,48287,12787085.0,0.0037762320341188003,Pennsylvania,Bachelor's degree or higher,0.11793671327619418,0.5531022561049482,42
Rhode Island,2016,2887,1057566.0,0.0027298532668410293,Rhode Island,Less than high school graduate,0.10611107797950195,0.6095572386413011,44
Rhode Island,2016,2887,1057566.0,0.0027298532668410293,Rhode Island,High school graduate (includes equivalency),0.28433168337919695,0.6095572386413011,44
Rhode Island,2016,2887,1057566.0,0.0027298532668410293,Rhode Island,Some college or associate's degree,0.48362115235523145,0.6095572386413011,44
Rhode Island,2016,2887,1057566.0,0.0027298532668410293,Rhode Island,Bachelor's degree or higher,0.12593608628606967,0.6095572386413011,44
South Carolina,2016,20376,4959822.0,0.004108211947928777,South Carolina,Less than high school graduate,0.14274450252606372,0.5430619813851423,45
South Carolina,2016,20376,4959822.0,0.004108211947928777,South Carolina,High school graduate (includes equivalency),0.314193516088794,0.5430619813851423,45
South Carolina,2016,20376,4959822.0,0.004108211947928777,South Carolina,Some college or associate's degree,0.4574866187458542,0.5430619813851423,45
South Carolina,2016,20376,4959822.0,0.004108211947928777,South Carolina,Bachelor's degree or higher,0.08557536263928811,0.5430619813851423,45
South Dakota,2016,3770,861542.0,0.00437587488479958,South Dakota,Less than high school graduate,0.14752050532667108,0.5572263599509758,46
South Dakota,2016,3770,861542.0,0.00437587488479958,South Dakota,High school graduate (includes equivalency),0.29525313472235315,0.5572263599509758,46
South Dakota,2016,3770,861542.0,0.00437587488479958,South Dakota,Some college or associate's degree,0.4719406995380409,0.5572263599509758,46
South Dakota,2016,3770,861542.0,0.00437587488479958,South Dakota,Bachelor's degree or higher,0.08528566041293485,0.5572263599509758,46
Tennessee,2016,21539,6649404.0,0.0032392376820539106,Tennessee,Less than high school graduate,0.1203143777647089,0.5247801017668567,47
Tennessee,2016,21539,6649404.0,0.0032392376820539106,Tennessee,High school graduate (includes equivalency),0.3549055204684344,0.5247801017668567,47
Tennessee,2016,21539,6649404.0,0.0032392376820539106,Tennessee,Some college or associate's degree,0.4325011506302897,0.5247801017668567,47
